reporting_lag,amount,mule_hops,dist_km,past_cases,crime_type,target_cashout
70,25000.0,2,1.24,6,UPI Fraud,0
187,300000.0,2,0.39,8,Investment Scam,0
33,1200000.0,3,0.21,8,Investment Scam,1
5,100000.0,2,0.38,6,Card Fraud,1
55,300000.0,4,1.24,5,Investment Scam,0
42,15000.0,3,1.27,4,UPI Fraud,0
11,25000.0,1,1.64,14,UPI Fraud,1
97,850000.0,3,1.92,5,Job Scam,0
19,150000.0,2,0.33,11,Phishing,1
41,20000.0,1,0.68,3,Card Fraud,0
11,120000.0,2,0.8,10,UPI Fraud,1
9,10000.0,2,0.52,10,Card Fraud,1
10,120000.0,2,1.35,6,UPI Fraud,1
41,75000.0,2,2.14,11,Phishing,0
92,48000.0,2,0.48,12,UPI Fraud,0
53,250000.0,3,3.53,7,Job Scam,0
6,40000.0,1,1.16,10,Card Fraud,1
6,100000.0,1,1.17,12,Card Fraud,1
8,8000.0,2,0.37,13,UPI Fraud,1
40,25000.0,2,1.28,3,UPI Fraud,0
15,120000.0,3,0.64,6,UPI Fraud,1
8,150000.0,1,0.58,10,Phishing,1
80,15000.0,2,2.05,7,UPI Fraud,0
7,15000.0,1,0.27,9,UPI Fraud,1
13,48000.0,1,0.2,9,UPI Fraud,1
9,75000.0,1,3.4,17,Phishing,1
9,120000.0,1,0.27,6,UPI Fraud,1
30,85000.0,3,0.2,12,UPI Fraud,1
48,75000.0,1,2.94,7,Phishing,0
69,48000.0,2,1.35,9,UPI Fraud,0
13,100000.0,1,0.3,6,Card Fraud,1
93,2000000.0,3,0.47,13,Investment Scam,1
15,120000.0,1,0.3,10,UPI Fraud,1
13,850000.0,2,3.25,8,Job Scam,1
33,25000.0,2,3.75,8,UPI Fraud,0
204,50000.0,2,0.79,8,Job Scam,0
68,2000000.0,2,0.72,11,Investment Scam,0
120,2000000.0,5,1.12,12,Investment Scam,0
30,45000.0,2,0.59,16,Phishing,0
67,150000.0,4,0.76,12,Investment Scam,1
7,25000.0,1,1.38,7,UPI Fraud,1
11,85000.0,1,1.1,7,UPI Fraud,1
29,75000.0,3,0.23,9,Phishing,1
22,600000.0,4,2.86,8,Investment Scam,1
9,15000.0,2,0.47,13,UPI Fraud,1
19,120000.0,2,0.47,4,UPI Fraud,1
8,8000.0,1,1.04,12,UPI Fraud,1
36,120000.0,3,1.64,10,UPI Fraud,0
17,20000.0,2,0.62,14,Card Fraud,1
33,120000.0,1,1.98,16,UPI Fraud,0
21,75000.0,1,1.09,12,Phishing,1
10,8000.0,1,1.16,9,UPI Fraud,1
32,15000.0,1,1.24,12,UPI Fraud,0
32,25000.0,3,1.15,14,UPI Fraud,0
103,250000.0,3,0.76,3,Job Scam,0
15,8000.0,3,3.23,8,UPI Fraud,1
